Location,Primary_Culture,All_Cultures,Primary_Religion,All_Religions,Pop_Types
fengrun,yan_culture,yan_culture,sanjiao,sanjiao,peasants;clergy
fengxi,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
fengxian,huaihai_culture,huaihai_culture,sanjiao,sanjiao,peasants;clergy
fengxiang,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
fengxin,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
fengzhou,tumed_culture,tumed_culture,tengri,tengri,tribesmen;peasants;clergy
fenning,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
fenxi,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
fenyi,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
foping,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
fuan,she_culture,she_culture;funing_culture,sanjiao,sanjiao;wu_religion,tribesmen;peasants;clergy
fucheng,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
fucheng_hejian,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
fuchuan,yao_china_culture,yao_china_culture,yao_religion,yao_religion,tribesmen;clergy
fuchuan_ningxia,qin_culture,qin_culture;liang_culture;mongolian_culture;mi_niah_culture,tibetan_buddhism,tibetan_buddhism;mahayana;sanjiao,peasants;clergy
fufeng,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
fugou,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
fugu,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
fuliang,gan_culture,gan_culture;qiwu_culture,sanjiao,sanjiao,burghers;nobles;peasants;clergy
fumin,yi_culture,yi_culture;bai_culture;hmong_culture,hmongism,hmongism;bimoism,tribesmen;clergy
funing,yan_culture,yan_culture,sanjiao,sanjiao,peasants;clergy
funing_huaian,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,peasants;clergy
fuping,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
fuping_xian,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
fuqiang,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
fuqing,fuzhou_culture,fuzhou_culture,manichaeism,manichaeism;sanjiao,peasants;clergy
fushan,qin_culture,qin_culture;jin_culture,sanjiao,sanjiao,peasants;clergy
fushan_jiaozhou,hui_muslim_culture,hui_muslim_culture;jiaodong_culture,sunni,sunni;sanjiao,peasants;clergy
fushan_muping,jiaodong_culture,jiaodong_culture,sanjiao,sanjiao,peasants;clergy
fushi,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
fushu,kharchin_culture,kharchin_culture,tengri,tengri,tribesmen;peasants;clergy
fushui,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
fushun,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
futian,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
fuyang,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
fuyang_hangzhou,yue_wu_culture,yue_wu_culture,sanjiao,sanjiao,peasants;clergy
fuzhou,mongolian_culture,mongolian_culture,tengri,tengri,tribesmen;peasants;clergy
fuzhou_guangnan,bai_culture,bai_culture;zhuang_culture,moism,moism,tribesmen;clergy
fuzhou_sichuan,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
fuzhou_songpan,amdowa_culture,amdowa_culture;qin_culture;mongolian_culture,bon,bon;tibetan_buddhism;sanjiao,tribesmen;peasants;clergy
fuzhou_yanan,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
ganen,hlai_culture,hlai_culture;qiong_culture,sanjiao,sanjiao;satsana_phi,tribesmen;peasants;clergy
ganquan,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
ganxian,kejia_culture,kejia_culture,sanjiao,sanjiao,peasants;clergy
ganyu,huaihai_culture,huaihai_culture,sanjiao,sanjiao,peasants;clergy
ganzhou,liang_culture,liang_culture;mi_niah_culture,mahayana,mahayana;sanjiao,burghers;nobles;peasants;clergy
gaoan,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
gaocheng,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
gaocheng_suizhou,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
gaomi,jilu_culture,jilu_culture;jiaodong_culture,sanjiao,sanjiao,peasants;clergy
gaoming,yuehai_culture,yuehai_culture;xinhui_culture,sanjiao,sanjiao,peasants;clergy
gaoping,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
gaoqiao,huaihai_culture,huaihai_culture,sanjiao,sanjiao,peasants;clergy
gaotai,liang_culture,liang_culture;mongolian_culture;yugur_culture,tibetan_buddhism,tibetan_buddhism;mahayana;sanjiao,peasants;clergy
gaotang,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
gaoyang,malao_culture,malao_culture,sanjiao,sanjiao,peasants;clergy
gaoyang_baoding,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
gaoyao,yuehai_culture,yuehai_culture,sanjiao,sanjiao,peasants;clergy
gaoyou,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,peasants;clergy
gaoyuan,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
gaoyuan_jinan,jilu_culture,jilu_culture;jiaodong_culture,sanjiao,sanjiao,peasants;clergy
gecheng,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
gegou,zhongyuan_culture,zhongyuan_culture;jilu_culture,sanjiao,sanjiao,peasants;clergy
gengdang,tai_lu_culture,tai_lu_culture;jino_culture,jino_religion,jino_religion;satsana_phi,tribesmen;clergy
gengma,yi_culture,yi_culture;tai_nua_culture;lahu_culture,lahu_religion,lahu_religion;bimoism;satsana_phi,tribesmen;burghers;nobles;clergy
gongan,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
gongcheng,yao_china_culture,yao_china_culture,yao_religion,yao_religion,tribesmen;clergy
gongshan,derung_culture,derung_culture;lisu_culture;bai_culture;nu_culture,lisu_religion,lisu_religion;mahayana;nu_religion,tribesmen;slaves;clergy
gongxian,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
goupingguan,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
guan,yan_culture,yan_culture,sanjiao,sanjiao,peasants;clergy
guancheng,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
guancheng_zhengzhou,zhongyuan_culture,zhongyuan_culture;hui_muslim_culture,sunni,sunni;sanjiao,burghers;nobles;peasants;clergy
guanfu,yuehai_culture,yuehai_culture,sanjiao,sanjiao,peasants;clergy
guangan,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
guangchang,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
guangde,jixi_culture,jixi_culture;wu_culture;mongolian_culture,tibetan_buddhism,tibetan_buddhism;sanjiao,peasants;clergy
guanghai,xinhui_culture,xinhui_culture,sanjiao,sanjiao,peasants;clergy
guanghua,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
guangji,gan_culture,gan_culture;jianghuai_culture,sanjiao,sanjiao,peasants;clergy
guangling,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
guangnan,bai_culture,bai_culture;zhuang_culture,moism,moism,tribesmen;clergy
guangning_zhaoqing,guangxin_culture,guangxin_culture,sanjiao,sanjiao,peasants;clergy
guangping,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
guangshan,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
guangsuoling,mongolian_culture,mongolian_culture;hmong_culture;zhuang_culture,hmongism,hmongism;moism,tribesmen;clergy
guangxi,yi_culture,yi_culture;hui_muslim_culture;bai_culture;hani_culture,sunni,sunni;bimoism;hani_religion,tribesmen;slaves;clergy
guangze,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
guangzhou,yuehai_culture,yuehai_culture;hui_muslim_culture,sunni,sunni;sanjiao,burghers;nobles;peasants;clergy
guangzong,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
guantao,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
guanyang,yao_china_culture,yao_china_culture,yao_religion,yao_religion,tribesmen;clergy
guanzhou,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
guazhou,liang_culture,liang_culture,sanjiao,sanjiao,peasants;clergy
gucheng,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
gucheng_jingzhou,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
gucheng_xi,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
gucheng_zhending,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
guichi,jianghuai_culture,jianghuai_culture;xuanzhou_culture,sanjiao,sanjiao,peasants;clergy
guide,amdowa_culture,amdowa_culture,bon,bon;tibetan_buddhism,tribesmen;peasants;clergy
guidong,kejia_culture,kejia_culture,sanjiao,sanjiao,peasants;clergy
guihua,yi_culture,yi_culture;mongolian_culture;hmong_culture;shu_culture,hmongism,hmongism;bimoism;sanjiao,tribesmen;slaves;clergy
guiling,yao_china_culture,yao_china_culture,yao_religion,yao_religion,tribesmen;clergy
guiping,tubai_culture,tubai_culture,sanjiao,sanjiao,peasants;clergy
guishan,yuehai_culture,yuehai_culture;huizhou_hakka_culture,sanjiao,sanjiao,peasants;clergy
guishun,zhuang_culture,zhuang_culture,moism,moism,tribesmen;clergy
guixi_guangxin,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
guixin,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
guiyang_chenzhou,kejia_culture,kejia_culture;yao_china_culture,yao_religion,yao_religion;sanjiao,tribesmen;peasants;clergy
guiyang_hengyang,yongzhou_culture,yongzhou_culture,sanjiao,sanjiao,peasants;clergy
guizhou_guizhou,mongolian_culture,mongolian_culture;hmong_culture;zhuang_culture,hmongism,hmongism;moism,tribesmen;clergy
guizhou_xunzhou,tubai_culture,tubai_culture;zhuang_culture,moism,moism;sanjiao,tribesmen;peasants;clergy
gulang,liang_culture,liang_culture;mongolian_culture;mi_niah_culture,tibetan_buddhism,tibetan_buddhism;mahayana;sanjiao,peasants;clergy
guliang,yangjiang_culture,yangjiang_culture,sanjiao,sanjiao,peasants;clergy
gulin,yi_culture,yi_culture;mongolian_culture;hmong_culture;shu_culture,hmongism,hmongism;sanjiao;bimoism,tribesmen;slaves;peasants;clergy
guochuan,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
guozhou,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
gurkyang,amdowa_culture,amdowa_culture;qin_culture;mongolian_culture,bon,bon;tibetan_buddhism;sanjiao,tribesmen;peasants;clergy
gushan,amdowa_culture,amdowa_culture;liang_culture;mongolian_culture;mi_niah_culture,tibetan_buddhism,tibetan_buddhism;mahayana;sanjiao,peasants;clergy
gushi,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
gutian,she_culture,she_culture;funing_culture;fuzhou_culture,sanjiao,sanjiao;wu_religion,tribesmen;peasants;clergy
guwan,zhuang_culture,zhuang_culture,moism,moism,tribesmen;clergy
guzhang,xianxi_culture,xianxi_culture;mongolian_culture;tujia_culture;hmong_culture,hmongism,hmongism;sanjiao;tengri;nuo_religion,tribesmen;slaves;peasants;clergy
guzhen,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
guzhou,kam_culture,kam_culture;mongolian_culture;hmong_culture;sui_culture,kam_religion,kam_religion;sui_religion;hmongism;tengri,tribesmen;clergy
haifeng,fulao_culture,fulao_culture,sanjiao,sanjiao,peasants;clergy
haikang,leizhou_culture,leizhou_culture,sanjiao,sanjiao,peasants;clergy
hailing,tongtai_culture,tongtai_culture;jianghuai_culture,sanjiao,sanjiao,peasants;clergy
haimen,tongtai_culture,tongtai_culture,sanjiao,sanjiao,peasants;clergy
haining,wu_culture,wu_culture,sanjiao,sanjiao,peasants;clergy
haiyan,wu_culture,wu_culture,sanjiao,sanjiao,peasants;clergy
haiyang,chaozhou_culture,chaozhou_culture,sanjiao,sanjiao,peasants;clergy
hancheng,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
hanchuan,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
handan,hui_muslim_culture,hui_muslim_culture;jin_culture,sunni,sunni;sanjiao,burghers;nobles;peasants;clergy
hanguang,kejia_culture,kejia_culture;yuehai_culture,sanjiao,sanjiao,peasants;clergy
hangzhou,wu_culture,wu_culture,sanjiao,sanjiao,burghers;nobles;peasants;clergy
hanshan,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,peasants;clergy
hanyang,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
hanyin,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
hanyuan,yi_culture,yi_culture;khampa_culture;mongolian_culture;shu_culture,tibetan_buddhism,tibetan_buddhism;bimoism;sanjiao,tribesmen;peasants;clergy
haomen,amdowa_culture,amdowa_culture;monguor_culture,bon,bon;tibetan_buddhism;mahayana,peasants;clergy
hebin,tumed_culture,tumed_culture,tengri,tengri,tribesmen;peasants;clergy
hechi,maonan_culture,maonan_culture;mongolian_culture;zhuang_culture,satsana_phi,satsana_phi;moism,tribesmen;clergy
hedong,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
hefei,hui_muslim_culture,hui_muslim_culture;jianghuai_culture,sunni,sunni;sanjiao,peasants;clergy
hehe,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
heishui,amdowa_culture,amdowa_culture;mongolian_culture;rma_culture,bon,bon;tibetan_buddhism;rmaism,tribesmen;peasants;clergy
heizhang,yi_culture,yi_culture;mongolian_culture;hmong_culture,hmongism,hmongism;bimoism,tribesmen;clergy
hejian,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
hejiang,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
hejin,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
henei,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
hengshan,hengzhou_culture,hengzhou_culture,sanjiao,sanjiao,peasants;clergy
hengshui,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
hengyang,hengzhou_culture,hengzhou_culture,sanjiao,sanjiao,peasants;clergy
heping,dongjiang_culture,dongjiang_culture,sanjiao,sanjiao,peasants;clergy
hepu,malao_culture,malao_culture,sanjiao,sanjiao,peasants;clergy
heqing,yi_culture,yi_culture;bai_culture,mahayana,mahayana;bimoism,tribesmen;peasants;clergy
hequ,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
hequ_wuding,yi_culture,yi_culture,bimoism,bimoism,tribesmen;clergy
heshui,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
heshun,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
heyang,yi_culture,yi_culture;bai_culture,bimoism,bimoism,tribesmen;clergy
heyang_xian,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
heyuan,dongjiang_culture,dongjiang_culture,sanjiao,sanjiao,peasants;clergy
hezhong,kharchin_culture,kharchin_culture,tengri,tengri,tribesmen;peasants;clergy
hezhou,sarta_culture,sarta_culture;amdowa_culture;liang_culture;mongolian_culture,bon,bon;tibetan_buddhism;sunni;sanjiao,tribesmen;peasants;clergy
hezhou_he,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,peasants;clergy
hongshui,liang_culture,liang_culture;mongolian_culture;mi_niah_culture,tibetan_buddhism,tibetan_buddhism;mahayana;sanjiao,peasants;clergy
hongtong,qin_culture,qin_culture;jin_culture,sanjiao,sanjiao,peasants;clergy
hongxian,zhongyuan_culture,zhongyuan_culture;hui_muslim_culture,sunni,sunni;sanjiao,peasants;clergy
hongyuan,amdowa_culture,amdowa_culture;mongolian_culture;rma_culture,bon,bon;tibetan_buddhism;rmaism,tribesmen;peasants;clergy
houguan,fuzhou_culture,fuzhou_culture,manichaeism,manichaeism;sanjiao,peasants;clergy
huacheng,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
huachi,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
huafeng,minnan_culture,minnan_culture,sanjiao,sanjiao,peasants;clergy
huaian,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
huaihua,laoxiang_culture,laoxiang_culture;kam_culture,kam_religion,kam_religion;sanjiao,tribesmen;peasants;clergy
huaiji,guangxin_culture,guangxin_culture;mongolian_culture;yao_china_culture,yao_religion,yao_religion;sanjiao;tengri,tribesmen;peasants;clergy
huailai,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
huaining,gan_culture,gan_culture;jianghuai_culture,sanjiao,sanjiao,peasants;clergy
huairen,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
huairou,yan_culture,yan_culture;mongolian_culture,tibetan_buddhism,tibetan_buddhism;sanjiao,peasants;clergy
huaiyuan,zhongyuan_culture,zhongyuan_culture;jianghuai_culture,sanjiao,sanjiao,peasants;clergy
huaiyuan_mizhi,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
huaiyuan_rongzhou,kam_culture,kam_culture,kam_religion,kam_religion,tribesmen;clergy
huangan,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,peasants;clergy
huangcaoba,mongolian_culture,mongolian_culture;hmong_culture;zhuang_culture,hmongism,hmongism;moism,tribesmen;clergy
huanggang,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,peasants;clergy
huanglong,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
huangmei,gan_culture,gan_culture;jianghuai_culture,sanjiao,sanjiao,peasants;clergy
huangpi,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,peasants;clergy
huangping,hmong_culture,hmong_culture,hmongism,hmongism,tribesmen;clergy
huangxian,jiaodong_culture,jiaodong_culture,sanjiao,sanjiao,peasants;clergy
huangyan,taizhou_wu_culture,taizhou_wu_culture,sanjiao,sanjiao,peasants;clergy
huanzhou,mongolian_culture,mongolian_culture,tengri,tengri,tribesmen;peasants;clergy
huanzhou_qingyang,qin_culture,qin_culture;mongolian_culture;mi_niah_culture,tibetan_buddhism,tibetan_buddhism;mahayana;sanjiao,peasants;clergy
huarong,chu_culture,chu_culture;gan_culture,sanjiao,sanjiao,peasants;clergy
huating,wu_culture,wu_culture,sanjiao,sanjiao,peasants;clergy
huating_pingliang,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
huayin,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
huaying,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
huayuan,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
huayuantou,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
huazhou,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
huguan,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
huian,minnan_culture,minnan_culture,manichaeism,manichaeism;sanjiao,peasants;clergy
huichang,kejia_culture,kejia_culture,sanjiao,sanjiao,peasants;clergy
huichuan,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
huichuan_dechang,yi_culture,yi_culture,bimoism,bimoism,tribesmen;clergy
huihe,jurchen_culture,jurchen_culture,tungusic_shamanism,tungusic_shamanism,tribesmen;peasants;clergy
huilai,chaozhou_culture,chaozhou_culture,sanjiao,sanjiao,peasants;clergy
huili,yi_culture,yi_culture,bimoism,bimoism,tribesmen;clergy
huiqi,kejia_culture,kejia_culture;yuehai_culture,sanjiao,sanjiao,peasants;clergy
huitong,laoxiang_culture,laoxiang_culture;kam_culture,kam_religion,kam_religion;sanjiao,tribesmen;peasants;clergy
huixian,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
huizhou,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
huizhou_gongchang,qin_culture,qin_culture;liang_culture;mongolian_culture;mi_niah_culture,tibetan_buddhism,tibetan_buddhism;mahayana;sanjiao,peasants;clergy
hukou,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
hunyuan,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
huolu,jilu_culture,jilu_culture;mongolian_culture;jin_culture,tibetan_buddhism,tibetan_buddhism;sanjiao,peasants;clergy
huoqiu,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
huoshan,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,peasants;clergy
huoyi,qin_culture,qin_culture;jin_culture,sanjiao,sanjiao,peasants;clergy
huozhu,yi_culture,yi_culture;bai_culture;mongolian_culture;hmong_culture,mahayana,mahayana;hmongism;bimoism,tribesmen;slaves;clergy
huxian,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
ishbukun,formosan_culture,formosan_culture,formosan_religion,formosan_religion,tribesmen
jiachuan,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
jiading,wu_culture,wu_culture,sanjiao,sanjiao,peasants;clergy
jiaha,yi_culture,yi_culture;zhuang_culture,bimoism,bimoism;moism,tribesmen;clergy
jiajiang,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
jianan,jianning_culture,jianning_culture,sanjiao,sanjiao,peasants;clergy
jianchang,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
jianchang_sichuan,yi_culture,yi_culture,bimoism,bimoism,tribesmen;clergy
jianchuan,bai_culture,bai_culture,mahayana,mahayana,peasants;clergy
jiande,wuzhou_culture,wuzhou_culture;yue_wu_culture;quzhou_culture,sanjiao,sanjiao,peasants;clergy
jiangan,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
jiangchuan,yi_culture,yi_culture;bai_culture;hui_muslim_culture,sunni,sunni;bimoism,tribesmen;peasants;clergy
jiangdu,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,burghers;nobles;peasants;clergy
jianghua,yao_china_culture,yao_china_culture,yao_religion,yao_religion,tribesmen;clergy
jiangjin,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
jiangle,jianning_culture,jianning_culture;gan_culture,sanjiao,sanjiao,peasants;clergy
jiangling,chu_culture,chu_culture,sanjiao,sanjiao,burghers;nobles;peasants;clergy
jiangning,wu_culture,wu_culture;jianghuai_culture,sanjiao,sanjiao,peasants;clergy
jiangshan,jiangshan_culture,jiangshan_culture,sanjiao,sanjiao,peasants;clergy
jiangshan_laiyang,jiaodong_culture,jiaodong_culture,sanjiao,sanjiao,peasants;clergy
jiangxia,chu_culture,chu_culture;hui_muslim_culture;jianghuai_culture,sunni,sunni;sanjiao;zoroastrian,burghers;nobles;peasants;clergy
jiangxian,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
jiangyin,wu_culture,wu_culture,sanjiao,sanjiao,peasants;clergy
jiangyou,rma_culture,rma_culture;shu_culture,sanjiao,sanjiao;rmaism,tribesmen;slaves;peasants;clergy
jianli,chu_culture,chu_culture;gan_culture,sanjiao,sanjiao,peasants;clergy
jianning,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
jianping,wu_culture,wu_culture,sanjiao,sanjiao,peasants;clergy
jianshi,tujia_culture,tujia_culture;shu_culture,sanjiao,sanjiao;nuo_religion,tribesmen;peasants;clergy
jianshui,yi_culture,yi_culture;mongolian_culture;bai_culture;hani_culture,bimoism,bimoism;hani_religion;tengri,tribesmen;slaves;clergy
jianyang,jianning_culture,jianning_culture,sanjiao,sanjiao,peasants;clergy
jianzhou,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
jianzhou_daizhou,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
jiaocheng,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
jiaohe,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
jiaohua,yi_culture,yi_culture;bai_culture;zhuang_culture,bimoism,bimoism;moism,tribesmen;clergy
jiaoshui,jiaodong_culture,jiaodong_culture,sanjiao,sanjiao,peasants;clergy
jiaoxi,jiaodong_culture,jiaodong_culture,sanjiao,sanjiao,peasants;clergy
jiaxian,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
jiaxiang,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
jiaxing,wu_culture,wu_culture,sanjiao,sanjiao,peasants;clergy
jiayu,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
jiazhou,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
jiexiu,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
jieyang,kejia_culture,kejia_culture;chaozhou_culture,sanjiao,sanjiao,peasants;clergy
jiezhou,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
jimo,jiaodong_culture,jiaodong_culture,sanjiao,sanjiao,peasants;clergy
jinchang,liang_culture,liang_culture;mongolian_culture;mi_niah_culture,tibetan_buddhism,tibetan_buddhism;mahayana;sanjiao,peasants;clergy
jincheng,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
jincheng_zezhou,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
jingan,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
jingan_shenzhou,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
jingbian,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
jingchuan,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
jingde,tunxi_culture,tunxi_culture;jixi_culture;xuanzhou_culture,sanjiao,sanjiao,peasants;clergy
jinghai,yan_culture,yan_culture,sanjiao,sanjiao,peasants;clergy
jinghai_tongzhou,tongtai_culture,tongtai_culture,sanjiao,sanjiao,peasants;clergy
jingle,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
jingling,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
jinglong,tai_lu_culture,tai_lu_culture;blang_culture,blang_religion,blang_religion;satsana_phi,tribesmen;nobles;clergy
jingning,liang_culture,liang_culture;hui_muslim_culture,sunni,sunni;sanjiao,peasants;clergy
jingshan,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
jingxian,xuanzhou_culture,xuanzhou_culture,sanjiao,sanjiao,peasants;clergy
jingxing,jilu_culture,jilu_culture;mongolian_culture,tibetan_buddhism,tibetan_buddhism;sanjiao,peasants;clergy
jingyan,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
jingyang,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
jingzhao,qin_culture,qin_culture;hui_muslim_culture,sunni,sunni;sanjiao,burghers;nobles;peasants;clergy
jinhua,wuzhou_culture,wuzhou_culture,sanjiao,sanjiao,peasants;clergy
jining,mongolian_culture,mongolian_culture;tumed_culture,tengri,tengri,tribesmen;peasants;clergy
jinji,yi_culture,yi_culture;bai_culture;mongolian_culture;hmong_culture,hmongism,hmongism;mahayana;bimoism,tribesmen;slaves;clergy
jinjiang,minnan_culture,minnan_culture,manichaeism,manichaeism;sanjiao,peasants;clergy
jinkang,yuehai_culture,yuehai_culture,sanjiao,sanjiao,peasants;clergy
jinkou,chu_culture,chu_culture;jianghuai_culture,sanjiao,sanjiao,peasants;clergy
jinshajiang,yi_culture,yi_culture;nashi_culture;bai_culture;dai_culture,dongba_religion,dongba_religion;bimoism;satsana_phi;mahayana,tribesmen;slaves;clergy
jinta,liang_culture,liang_culture;mongolian_culture,sanjiao,sanjiao;tengri,tribesmen;peasants;clergy
jintan,wu_culture,wu_culture;jianghuai_culture,sanjiao,sanjiao,peasants;clergy
